Distance_km,Preparation_Time_min,Courier_Experience_yrs,Delivery_Time_min,Distance_Traffic,Weather_Factor,Total_Delay_Est,Weather_Foggy,Weather_Rainy,Weather_Snowy,Weather_Windy,Traffic_Level_Low,Traffic_Level_Medium,Time_of_Day_Evening,Time_of_Day_Morning,Time_of_Day_Night,Vehicle_Type_Car,Vehicle_Type_Scooter,Experience_Level_Mid,Experience_Level_Senior
0.49536082474226806,0.2916666666666667,0.1111111111111111,43.0,0.27153028933092227,0.3333333333333335,0.26478526240204026,False,False,False,True,True,False,False,False,False,False,True,False,False
0.8159793814432992,0.625,0.2222222222222222,84.0,0.632854882459313,0.0,0.5707043195127084,False,False,False,False,False,True,True,False,False,False,False,True,False
0.4603092783505155,0.9583333333333333,0.1111111111111111,59.0,0.2523169077757686,0.0,0.4860844589157267,False,False,False,False,True,False,False,False,True,False,True,False,False
0.35309278350515466,0.0,0.1111111111111111,37.0,0.27763336347197115,1.0,0.19237245119037302,False,True,False,False,False,True,False,False,False,False,True,False,False
0.950515463917526,0.4583333333333333,0.5555555555555556,68.0,0.5210216998191683,0.0,0.4475505428794275,False,False,False,False,True,False,False,True,False,False,False,False,True
0.9695876288659794,0.125,1.0,57.0,0.5314760397830018,0.0,0.32947271984450244,False,False,False,False,True,False,True,False,False,False,True,False,True
0.4603092783505155,0.2916666666666667,0.1111111111111111,49.0,0.2523169077757686,0.0,0.2384769663130006,False,False,False,False,True,False,False,True,False,False,False,False,False
0.8659793814432991,0.0,0.6666666666666666,46.0,0.6712251356238699,0.0,0.35958798113230905,False,False,False,False,False,True,True,False,False,False,True,False,True
0.061340206185567014,0.625,0.6666666666666666,35.0,0.033623417721518986,,,False,False,True,False,True,False,True,False,False,True,False,False,True
0.5170103092783506,1.0,0.1111111111111111,73.0,0.2833973779385172,0.6666666666666665,0.5514528369628464,True,False,False,False,True,False,True,False,False,False,True,False,False
0.838659793814433,0.3333333333333333,0.4444444444444444,88.0,0.6502599457504522,,,False,False,True,False,False,True,False,False,False,True,False,False,True
0.770618556701031,1.0,0.1111111111111111,76.0,0.4224118444846294,0.0,0.5947222462951728,False,False,False,False,True,False,False,False,True,False,False,False,False
0.5309278350515465,0.2916666666666667,0.5555555555555556,53.0,0.5371835443037976,0.0,0.39450063758929343,False,False,False,False,False,False,False,False,True,False,False,False,True
0.21134020618556704,0.2916666666666667,0.7777777777777777,36.0,0.16885171790235082,1.0,0.22324601042427542,False,True,False,False,False,True,True,False,False,False,True,False,True
0.11391752577319589,0.20833333333333331,0.5555555555555556,33.0,0.12573462929475587,0.0,0.1381959318088965,False,False,False,False,False,False,False,True,False,False,True,False,True
0.08144329896907217,0.4166666666666667,0.3333333333333333,35.0,0.04464285714285715,,,False,False,True,False,True,False,True,False,False,True,False,True,False
0.8902061855670104,0.0,0.1111111111111111,50.0,0.48796338155515373,1.0,0.34213165290381686,False,True,False,False,True,False,False,False,False,False,False,False,False
0.1,0.041666666666666685,0.8888888888888888,24.0,0.05481464737793852,,,False,False,True,False,True,False,False,True,False,False,False,False,True
